Alcohol_fo
VitB12_cobalamin_fs
Calcium_fs
Total_Carb_from_fs
Choline_fs
Total_Folate_fo
Galactose_fo
Glucose_fs
Insol_Dietary_Fiber_fs
Iron_from_fs
Total_MUFA_fs
Total_PUFA_fs
Total_Protein_fs
Total_SFA_fs
Starch_fo
Sucrose_from_fs
Total_Trans_fo
VitD_calciferol_fo
VitD_calciferol_fs
VitK_phylloquinone_fo
Sol_Dietary_Fiber_fo
Energy_fs
