Run,Individual,sampling_day,diet_period,diet_type
SRR097093,m8,4,E3, TD.09624
SRR097163,m4,7,E2, TD.09620
SRR097133,m5,4,E2, TD.09053
SRR096985,m2,1,E3, TD.09623
SRR097035,m3,4,E1, TD.09625
SRR097031,m4,14,E3, TD.09621
SRR096965,m2,2,E2, TD.09052
SRR097023,m8,7,E1, TD.09621
SRR096978,m1,14,E3, TD.09625
SRR097106,m7,14,E1, TD.09053
SRR096952,m6,2,E3, TD.09053
SRR097176,m6,1,E3, TD.09053
SRR097122,m3,14,E2, TD.09621
SRR097207,m2,7,E1, TD.09620
SRR097053,m4,1,E1, TD.09623
SRR096969,m3,14,E3, TD.09620
SRR097097,m1,1,E1, TD.09624
SRR097124,m2,2,E1, TD.09620
SRR096958,m6,14,E1, TD.09053
SRR096975,m5,1,E2, TD.09053
SRR096979,m2,7,E2, TD.09052
SRR097180,m8,2,E2, TD.09622
SRR097210,m8,2,E3, TD.09624
SRR097174,m3,7,E3, TD.09620
SRR097049,m3,7,E2, TD.09621
SRR097144,m7,1,E2, TD.09625
SRR097188,m4,7,E3, TD.09621
SRR097089,m7,7,E1, TD.09053
SRR096968,m6,7,E2, TD.09624
SRR097038,m3,1,E2, TD.09621
SRR097179,m2,1,E1, TD.09620
SRR097137,m4,14,E1, TD.09623
SRR097005,m6,2,E2, TD.09624
SRR097010,m8,1,E1, TD.09621
SRR097209,m2,1,E2, TD.09052
SRR097027,m7,7,E2, TD.09625
SRR097065,m6,4,E2, TD.09624
SRR097042,m3,2,E1, TD.09625
SRR097172,m2,14,E3, TD.09623
SRR097030,m7,4,E1, TD.09053
SRR097043,m1,4,E2, TD.09623
SRR096956,m4,2,E2, TD.09620
SRR097130,m1,7,E1, TD.09624
SRR097222,m8,14,E3, TD.09624
SRR097075,m1,7,E3, TD.09625
SRR097183,m4,4,E1, TD.09623
SRR097068,m1,4,E1, TD.09624
SRR097094,m7,2,E2, TD.09625
SRR097033,m4,14,E2, TD.09620
SRR097216,m5,4,E1, TD.09622
SRR097002,m7,7,E3, TD.09622
SRR097000,m1,2,E1, TD.09624
SRR097083,m5,2,E1, TD.09622
SRR097154,m1,1,E3, TD.09625
SRR097009,m1,14,E2, TD.09623
SRR097146,m8,7,E3, TD.09624
SRR097175,m6,7,E1, TD.09053
SRR097177,m1,7,E2, TD.09623
SRR097148,m2,2,E3, TD.09623
SRR097099,m7,1,E3, TD.09622
SRR097047,m1,1,E2, TD.09623
SRR097058,m2,14,E1, TD.09620
SRR097182,m8,2,E1, TD.09621
SRR097039,m8,14,E1, TD.09621
SRR097076,m8,1,E2, TD.09622
SRR097191,m7,14,E2, TD.09625
SRR097170,m4,2,E1, TD.09623
SRR097143,m7,2,E3, TD.09622
SRR097067,m2,4,E1, TD.09620
SRR097079,m6,4,E3, TD.09053
SRR097158,m4,4,E3, TD.09621
SRR097091,m2,14,E2, TD.09052
SRR097014,m3,7,E1, TD.09625
SRR097066,m5,2,E3, TD.09054
SRR097102,m4,7,E1, TD.09623
SRR096960,m5,4,E3, TD.09054
SRR096982,m5,2,E2, TD.09053
SRR097190,m4,4,E2, TD.09620
SRR096972,m1,14,E1, TD.09624
SRR097221,m5,7,E2, TD.09053
SRR097019,m1,2,E2, TD.09623
SRR097028,m6,4,E1, TD.09053
SRR096981,m4,2,E3, TD.09621
SRR097022,m7,4,E3, TD.09622
SRR097107,m5,1,E3, TD.09054
SRR096974,m7,1,E1, TD.09053
