"","f__Bacteroidales_RF16_group","f__Clostridiales_vadinBB60_group","f__Erysipelotrichaceae","f__Lachnospiraceae","f__Muribaculaceae","f__p.2534.18B5_gut_group","f__Prevotellaceae","f__Ruminococcaceae","g__Agathobacter","g__Alloprevotella","g__Anaerofilum","g__Anaerostipes","g__Anaerovibrio","g__Bacteroides","g__Blautia","g__Butyricicoccus","g__Catenibacterium","g__Christensenellaceae_R.7_group","g__Clostridium_sensu_stricto_1","g__Collinsella","g__Coprococcus_1","g__Coprococcus_2","g__Coprococcus_3","g__Desulfovibrio","g__Dialister","g__Dorea","g__Elusimicrobium","g__Erysipelotrichaceae_UCG.003","g__Erysipelotrichaceae_UCG.006","g__Faecalibacterium","g__Family_XIII_AD3011_group","g__Flavonifractor","g__Fusicatenibacter","g__Haemophilus","g__Holdemanella","g__Intestinibacter","g__Intestinimonas","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_AC2044_group","g__Lachnospiraceae_ND3007_group","g__Lachnospiraceae_NK4A136_group","g__Marvinbryantia","g__Methanobrevibacter","g__Mogibacterium","g__Oribacterium","g__Oscillibacter","g__Parabacteroides","g__Phascolarctobacterium","g__Prevotella_1","g__Prevotella_2","g__Prevotella_7","g__Prevotella_9","g__Prevotellaceae_NK3B31_group","g__Prevotellaceae_UCG.001","g__Prevotellaceae_UCG.003","g__Prevotellaceae_UCG.004","g__Rikenellaceae_RC9_gut_group","g__Romboutsia","g__Roseburia","g__Ruminiclostridium_6","g__Ruminococcaceae_NK4A214_group","g__Ruminococcaceae_UCG.002","g__Ruminococcaceae_UCG.003","g__Ruminococcaceae_UCG.005","g__Ruminococcaceae_UCG.008","g__Ruminococcaceae_UCG.010","g__Ruminococcaceae_UCG.013","g__Ruminococcaceae_UCG.014","g__Ruminococcus_1","g__Ruminococcus_2","g__Sarcina","g__Solobacterium","g__Streptococcus","g__Subdoligranulum","g__Succinivibrio","g__Sutterella","g__Terrisporobacter","g__Treponema_2","g__Veillonella","o__Clostridiales","o__Gastranaerophilales","o__Mollicutes_RF39","o__Rhodospirillales","o__WCHB1.41","p__Unclassified"
"SRR5761162",0.000720827679782904,0.000127204884667571,0.00067842605156038,0.019674355495251,0.00373134328358209,0,0.0113212347354138,0.015222184531886,0.00911635006784261,0.0103459972862958,0.00330732700135685,0.00279850746268657,0.000466417910447761,0.000763229308005427,0.0256529850746269,0.00398575305291723,0.000848032564450475,0.00864993215739484,0.00110244233378562,0,0,0,0.000890434192672999,0,0,0.00390094979647218,0.000254409769335142,0.00139925373134328,0.000890434192672999,0.029384328358209,0.001780868385346,0.000848032564450475,0.0108124151967436,0.00245929443690638,0.00449457259158752,0.00576662143826323,0.00033921302578019,0,0.000890434192672999,0,0.00067842605156038,0,0.00657225237449118,0,0.0016112618724559,0,0.000296811397557666,0.000254409769335142,0.00131445047489824,0.00835312075983718,0.0100491858887381,0.00122964721845319,0.117579715061058,0.00165366350067843,0.00203527815468114,0.000508819538670285,0,0.00343453188602442,0,0.00165366350067843,0,0.00233208955223881,0.0756869063772049,0.00131445047489824,0.00983717774762551,0.00551221166892809,0.00106004070556309,0,0.0153917910447761,0.001780868385346,0.0192927408412483,0.0277306648575305,0.00377374491180461,0.0156462008141113,0.0388398914518317,0.000508819538670285,0,0.00479138398914518,0.06686736770692,0.000169606512890095,0.000169606512890095,0.00203527815468114,0.0348541383989145,0,0,0.00033921302578019
"SRR5761051",0,0.000197964920616067,0.00225680009502316,0.0420081561547294,0.0852436948172784,0.000673080730094627,0.0283089836480976,0.0521043671061488,0.0140555093637407,0.00106901057132676,0.000277150888862494,0.00154412638080532,0,0.00110860355544997,0.0273191590450172,0.00138575444431247,0.0112048145068694,0.0023755790473928,0.0552718058360059,0.00194005622203745,0.0005938947618482,0.0032466246981035,0,0,0.0244684641881459,0.00605772657085164,0,0.00395929841232134,0.00114819653957319,0.0884111335471355,0.00154412638080532,0,0.0023755790473928,0,0.0110464425703765,0.0310013065684761,0.000435522825355347,0.000395929841232134,0.000554301777724987,0,0,0.0304074118066279,0.000910638634833907,0.00546383180900344,0.00035633685710892,0.00348418260284278,0.000395929841232134,0.000514708793601774,0.00102941758720355,0.00427604228530704,0.0134616146018925,0.00162331234905175,0.0920140951023479,0.00217761412677673,0.000791859682464267,0.000633487745971414,0.00114819653957319,0.0253395098388566,0.0198360850457299,0.00938353723720157,0.00154412638080532,0.00677040028506949,0.0641802272637289,0.00154412638080532,0.0383656016153937,0,0.0120758601575801,0.00498871599952488,0.00570138971374272,0.00498871599952488,0.0177772498713228,0,0.00498871599952488,0,0.0237953834580512,0.00205883517440709,0,0.0251811379023637,0.0321495031080493,0,0,0,0.00217761412677673,0,0,0
"SRR5761054",0,0,0.00104275286757039,0.0771637122002086,0.00238343512587517,0.000794478375291723,0.00332687819653409,0.01151993644173,0.000794478375291723,0.0025820547196981,0.00124137246139332,0.0245791747355877,0.00466756045483887,0.00218481553205224,0.114007646854362,0.00605789761159938,0.0183226575301654,0.0128606187000348,0.00804409354982869,0.00764685436218283,0.00074482347683599,0.00278067431352103,0,0,0,0.00983166989423507,0,0.0027310194150653,0.00124137246139332,0.211927106609067,0.00124137246139332,0.00238343512587517,0.00695168578380257,0.000844133273747455,0.00541238393167486,0.00724961517453697,0.000844133273747455,0,0.0045682506579274,0,0.00178757634440638,0.000943443070658921,0.0322756839962262,0.000943443070658921,0.000993097969114653,0.000297929390734396,0,0.000148964695367198,0.000993097969114653,0,0.0125626893093004,0.00342618799344555,0.137593723620835,0.000695168578380257,0,0,0,0.00556134862704206,0,0.00153930185212771,0,0.000496548984557327,0.0365460052634192,0,0.0027310194150653,0.050697651323303,0.00238343512587517,0.000397239187645861,0.0228909081880928,0.00675306618997964,0.00431997616564874,0.00163861164903918,0.00178757634440638,0,0.0316301703163017,0.000695168578380257,0,0.00600824271314365,0.000248274492278663,0.000496548984557327,0,0.000695168578380257,0.0467749143453002,9.93097969114653e-05,0,0.00198619593822931
"SRR5760855",0,0.010831234256927,0.000906801007556675,0.0148614609571788,0.00141057934508816,0,0.0192443324937028,0.0194458438287154,0.00277078085642317,0.00649874055415617,0.00146095717884131,0.0304282115869018,0.00287153652392947,0.00307304785894207,0.0144584382871537,0.00115869017632242,0.000654911838790932,0.00317380352644836,0.000654911838790932,0,0.00120906801007557,0,0.00206549118387909,0.000503778337531486,0,0.00594458438287154,0.0132997481108312,0.0017632241813602,0,0.0198992443324937,0.00161209068010076,0,0.000806045340050378,0,0.00881612090680101,0.000604534005037783,0.000856423173803526,0.000755667506297229,0.00181360201511335,0.00100755667506297,0.000503778337531486,0.00508816120906801,0.000403022670025189,0.00614609571788413,0.000503778337531486,0,0,0.00977329974811083,0.0107808564231738,0.0527959697732997,0.00836272040302267,0,0.25919395465995,0.000403022670025189,0,0.000251889168765743,0,0.0140050377833753,0,0.00221662468513854,0.000453400503778338,0.0035264483627204,0.0344584382871536,0.00115869017632242,0.0208060453400504,0,0.0179848866498741,0.0109823677581864,0.00357682619647355,0.00201511335012594,0.00891687657430731,0.000705289672544081,0.000604534005037783,0.011183879093199,0.00574307304785894,0.087808564231738,0.00110831234256927,0,0.0835264483627204,0.00801007556675063,0.00392947103274559,0.0606045340050378,0.0102267002518892,0.000503778337531486,0,0.00770780856423174
"SRR5760853",0,0.00352351267109364,0.000406559154356959,0.0154944211049374,0.000767945069340922,0,0.0120160816732168,0.0105705380132809,0.00243935492614175,0.00501422957040249,0.00158106337805484,0.0364999774133803,0.0113836563219948,0.00225866196864977,0.0216379816596648,0.00234900844739576,0.000948638026832904,0.00420111126168858,0,0.00176175633554682,0.00185210281429281,0,0.00311695351673669,0.000587252111848941,0,0.00456249717667254,0.00402041830419659,0.00239418168676876,0,0.0384424267064191,0.000677598590594932,0,0.00248452816551475,0.00049690563310295,0.0177982563129602,0,0.000677598590594932,0.00144554365993585,0.00216831548990378,0,0.000813118308713918,0.00180692957491982,0,0.000632425351221936,0.000451732393729954,0.000316212675610968,0.000451732393729954,0.00614356055472738,0.00641459999096535,0.0258390929213534,0.0175723901160952,0,0.308036319284456,0.000587252111848941,0,0,0,0.00487870985228351,0,0.00126485070244387,0.000813118308713918,0.00406559154356959,0.0290012196774631,0.000361385914983964,0.0262456520757103,0,0.00763427745403623,0.00338799295297466,0.00365903238921263,0.00158106337805484,0.00686633238469531,0.00112933098432489,0.000858291548086913,0.0168496182861273,0.00524009576726747,0.161223291322221,0.00234900844739576,0,0.0627004562497177,0.00767945069340922,0.00320729999548268,0.0165785788498893,0.00645977323033835,9.03464787459909e-05,0,0.00239418168676876
"SRR5760852",0,0.0191351755839436,0.000481051900155006,0.00817788230263509,0.0306269709765354,0,0.0208990325511786,0.0297183173873537,0.00219145865626169,0.00235180928964669,0.00176385696723502,0.00422256667913838,0,0.00160350633385002,0.0133625527820835,0.000427601689026672,0,0.0031535624565717,0.00101555401143835,0.000213800844513336,0,0,0.00053450211128334,0.000213800844513336,0,0.00326046287882837,0,0.000694852744668341,0,0.00571917259073173,0,0.000855203378053343,0,0,0.000106900422256668,0.00144315570046502,0.000855203378053343,0,0,0.000694852744668341,0.000374151477898338,0.0180127211502485,0.00561227216847507,0.00155005612272168,0,0.00155005612272168,0.00171040675610669,0.00758992998022342,0.000801753166925009,0.0149660591159335,0.00545192153509006,0.000587952322411674,0.162435191619007,0.00748302955796675,0,0.000587952322411674,0,0.0260302528194986,0,0.00497086963493506,0.00470361857929339,0.00326046287882837,0.111122988935806,0.00176385696723502,0.0242663958522636,0.00657437596878508,0.0401411085573788,0.00593297343524507,0.0546795659842856,0.00187075738949169,0.0061467742797584,0.0660110107434924,0,0.000374151477898338,0.00587952322411673,0.00106900422256668,0.000106900422256668,0,0.189053396760917,0.000374151477898338,0.00165695654497835,0.00571917259073173,0.00978138863648511,0.000748302955796675,0,0.00101555401143835
"SRR5761086",0,0.000609584544687236,0.000375128950576761,0.0109256306855482,0.00295414048579199,0,0.0250867485698209,0.00515802307043046,0.00351683391165713,0.0312763762543374,0,0.0309950295414049,0.0076432523680015,0.00825283691268874,0.0179124073900403,0.000609584544687236,0.00126606020819657,0.000375128950576761,0,0.00332926943636875,0.000703366782331426,0,0,0.000234455594110475,0,0.00525180530807465,0,0.00168808027759542,0,0.00637719215980493,0,0,0,0.00018756447528838,0.000562693425865141,0.000562693425865141,0.000890931257619807,0,0.00107849573290819,0,0,0.00492356747631999,0,0.000468911188220951,0,0.000328237831754666,0,0.000890931257619807,0.00773703460564569,0.000937822376441902,0.0211478945887649,0,0.531463940729626,0.0047360030010316,0,0.00018756447528838,0,0.00309481384225828,0,0,0,0.000750257901153522,0.0223670636781394,0.00206320922817218,0.0115821063490575,0.00407952733752227,0.000281346712932571,0.00309481384225828,0.00431398293163275,0.00492356747631999,0,0.00248522929757104,0.000797149019975617,0.00881553033855388,0.0779799306011441,0.0200225077370346,0.000234455594110475,0,0.0019225358717059,0.0366688549188784,0.000609584544687236,0.0235862327675138,0.00806527243740036,0.000984713495263997,0,0.000797149019975617
"SRR5761141",0.000169018845601285,0.000704245190005352,0.000676075382405138,0.0171272430209302,0.215977914870841,0.0014084903800107,0.00408462210203104,0.0222259781965689,0.00276064114482098,0.000929603650807065,0,0,0,0.000112679230400856,0.0112960928476859,0,0.00149299980281135,0.00977492323727429,0.0300853545170286,0,0,0.00115496211160878,0,0,0,0.000816924420406209,0,0,0.00061973576720471,0.00552128228964196,0.000732414997605566,0.000422547114003211,0.000253528268401927,0,0.000901433843206851,0.000281698076002141,0.000197188653201499,0,0,0.00842277247246401,0,0.00521141440603961,0.00233809403081777,0.00270430152962055,0.000816924420406209,0,0.00061973576720471,0.000197188653201499,0.000253528268401927,0.00177469787881349,0,0.000422547114003211,0.0531282571340038,0.000788754612805995,0.000225358460801713,0.00112679230400856,0.000309867883602355,0.0327896560466492,0.00932420631567086,0.00061973576720471,0.00264796191442012,0.00284515056762162,0.0455787486971464,0.00121130172680921,0.00909884785486915,0,0.00940871573847151,0.0107045268880814,0.0668751232429083,0.00270430152962055,0.025268317417392,0,0.00138032057241049,0,0.0234936195385786,0,0,0,0.042367390630722,0,0.00377475421842869,0.00715513113045438,0.261669342798389,0.00146482999521113,0.000366207498802783,0
"SRR5761142",0.000136184120931499,0.000272368241862999,0.00142993326978074,0.0272368241862999,0.0176358436606292,0.00251940623723274,0.0443279313632031,0.0125970311861637,0.00503881247446548,0.00129374914884924,0.00217894593490399,0.0119161105815062,0,0.00136184120931499,0.0844341549775296,0.00122565708838349,0.0131417676698897,0.00776249489309546,0.00177039357210949,0.000749012665123247,0,0.0135503200326842,0.00115756502791774,0.000204276181397249,0,0.0168187389350402,0,0.00660492986517772,0.00115756502791774,0.0285305733351491,0.000817104725588996,0.00183848563257524,0.00558354895819147,0,0.0227427481955604,0,0,0.000476644423260248,0.00265559035816424,0.00163420945117799,0,0.00449407599073948,0.00299605066049299,0.000408552362794498,0,0.00142993326978074,0,0,0.00469835217213673,0.000953288846520496,0.00912433610241046,0.00340460302328748,0.0948522402287893,0.0115075582187117,0,0,0,0.0146397930001362,0.00755821871169822,0.00442598393027373,0,0.00442598393027373,0.0426256298515593,0.00183848563257524,0.0120522947024377,0.00279177447909574,0.0194062372327387,0.00762631077216397,0.0262835353397794,0.00612828544191747,0.115416042489446,0,0.00932861228380771,0,0.0294838621816696,0,0,0,0.0330246493258886,0,0.00463026011167098,0.000136184120931499,0.054133188070271,0,0,0
"SRR5761145",0.000220070422535211,0,0.00601525821596244,0.00902288732394366,0.0775381455399061,0.00359448356807512,0.0843603286384977,0.0260416666666667,0.00388791079812207,0.00916960093896714,0.00124706572769953,0,0,0.00462147887323944,0.034037558685446,0.000660211267605634,0.00102699530516432,0.00638204225352113,0.0131308685446009,0.000366784037558685,0,0.00117370892018779,0.00286091549295775,0.000293427230046948,0,0.00264084507042254,0,0.000293427230046948,0.00344776995305164,0.0131308685446009,0,0.000220070422535211,0.0045481220657277,0.00146713615023474,0.0134976525821596,0.00550176056338028,0,0,0.00557511737089202,0,0,0.000660211267605634,0.00227406103286385,0,0.00264084507042254,0.00051349765258216,0.000440140845070423,0.00051349765258216,0.000440140845070423,0.0131308685446009,0.0309565727699531,0.00242077464788732,0.13893779342723,0.00520833333333333,0,0,0,0.0164319248826291,0.00264084507042254,0.00242077464788732,0.00183392018779343,0.00176056338028169,0.0662411971830986,0.00212734741784038,0.0133509389671362,0,0.00586854460093897,0.00997652582159624,0.0203931924882629,0.00183392018779343,0.00726232394366197,0.12162558685446,0,0.000366784037558685,0.00484154929577465,0,0,0.00425469483568075,0.109008215962441,0,0,0.00220070422535211,0.0221537558685446,0,0,0
